NAME,FACTION,LORE,WARSCROLL,CV,RANGE,RULES
Merciless Blizzard,,Lore of Primal Frost,,12,"12""","Merciless Blizzard is a spell that has a casting value of 12 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers 4D6 mortal wounds, but for each roll of 1, the caster also suffers D3 mortal wounds that cannot be negated. The range of this spell cannot be modified and must be measured from the caster, even if an ability would allow you to measure it from elsewhere."
Telepathic Summons,Coalesced,Lore of Ancient Domains,,6,"9""","Telepathic Summons is a spell that has a casting value of 6 and a range of 9"". If successfully cast, pick 1 friendly Seraphon unit that is not a Monster and that is visible to the caster. Remove that unit from the battlefield and set it up again wholly within range of the caster and more than 9"" from all enemy units. That unit cannot move in the next movement phase."
Drain Magic,Starborne,Lore of Celestial Domination,,6,,"Drain Magic is a spell that has a casting value of 6. If successfully cast, until the end of the phase, each time a friendly Seraphon Wizard is picked to cast a spell, instead of attempting to cast that spell, they can attempt to dispel an endless spell. If they do so, add 1 to the dispelling roll. In addition, until the end of the phase, subtract 1 from unbinding rolls made for enemy units."
Nikkit! Nikkit!,Gloomspite Gitz,Lore of the Moonclans,,8,"12""","Nikkit! Nikkit! is a spell that has a casting value of 8 and a range of 12"". If successfully cast, pick 1 enemy model within range and visible to the caster. That model’s unit suffers D3 mortal wounds. In addition, if that model bears an artefact of power and the unmodified casting roll was 10+, that model’s artefact of power can no longer be used (if it was used to enhance a weapon, that weapon reverts to its normal form)."
Arcane Bolt,,Core Rules Spells,,5,"12""","Arcane Bolt: Arcane Bolt is a spell that has a casting value of 5 and a range of 12"". If successfully cast, at the start of any 1 phase before your next hero phase, you can pick 1 enemy unit within range and visible to the caster. That unit suffers 1 mortal wound. If that unit is within 3"" of the caster, it suffers D3 mortal wounds instead of 1."
Mystic Shield,,Core Rules Spells,,5,"12""","Mystic Shield is a spell that has a casting value of 5 and a range of 12"". If successfully cast, pick 1 friendly unit wholly within range and visible to the caster. Add 1 to save rolls for attacks that target that unit until your next hero phase."
Celestial Deliverance,Order|Seraphon,,Lord Kroak,7,"12""","Celestial Deliverance is a spell that has a casting value of 7 and a range of 12"". This unit can attempt to cast this spell multiple times in your hero phase. Each time this spell is successfully cast, pick up to 3 different enemy units within range and visible to the caster. Each of those units suffers D3 mortal wounds."
Summon Boggy Mist,Destruction|Orruk Warclans|Orruk|Kruleboyz,,Swampcalla Shaman and Pot-grot,7,,"Summon Boggy Mist is a spell that has a casting value of 7. If successfully cast, until your next hero phase, add 1 to charge rolls for friendly Kruleboyz Orruk units on the battlefield and subtract 1 from charge rolls for other units on the battlefield."
Reflection Eternal,Chaos|Slaanesh|Hedonites of Slaanesh,,Shardspeaker of Slaanesh,6,"12""","Reflection Eternal is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Subtract 1 from the Attacks characteristic of that unit’s melee weapons (to a minimum of 1) until your next hero phase."
Fists of Gork,Destruction|Orruk Warclans|Orruk|Bonesplitterz,,Wurrgog Prophet,5,"24""","Fists of Gork is a spell that has a casting value of 5 and a range of 24"". If successfully cast, pick 1 enemy unit within range and visible to the caster, and roll a number of dice equal to the number of models in that unit. For each 6, that unit suffers 1 mortal wound. If the casting roll was 10+, that unit suffers 1 mortal wound for each 4+ instead of each 6."
Summon Boggy Mist,Destruction|Orruk Warclans|Orruk|Kruleboyz,,Gobsprakk,7,,"Summon Boggy Mist is a spell that has a casting value of 7. If successfully cast, until your next hero phase, add 1 to charge rolls for friendly Kruleboyz Orruk units on the battlefield and subtract 1 from charge rolls for other units on the battlefield."
Hand of Glory,Legends,,Loremaster,5,"18""","Hand of Glory is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 friendy Hero within range and visible to the caster. Add 1 to hit and wound rolls for attacks made by that friendy Hero until your next hero phase."
Eruptive Infestation,Chaos|Nurgle|Maggotkin of Nurgle,,Poxbringer,6,,"Eruptive Infestation is a spell that has a casting value of 6. If successfully cast, pick 1 enemy unit that is within 3"" of a friendly Plaguebearer Host that is visible to the caster. That enemy unit suffers D3 mortal wounds."
Blazing Starlight,Order|Seraphon,,Skink Starpriest,6,"18""","Blazing Starlight is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, subtract 1 from hit rolls for attacks made by that unit."
Choking Tendrils,Chaos|Disciples of Tzeentch|Tzeentch,,Ogroid Thaumaturge,7,"18""","Choking Tendrils is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D6 mortal wounds. For each model that is slain by a mortal wound caused by this spell, you can heal 1 wound allocated to the caster."
Storm Lance,Order|Stormcast Eternals,,Lord-Arcanum on Celestial Dracoline,5,"12""","Storm Lance is a spell that has a casting value of 5 and a range of 12"". If successfully cast, pick 1 point on the battlefield within range and visible to the caster and draw a straight line between that point and the closest part of the caster’s base. Roll a dice for each enemy unit passed across by that line. On a 4+, that unit suffers D3 mortal wounds."
Atavistic Tempest,Order|Stormcast Eternals|Draconith|Thunderstrike,,Krondys,9,"24""","Atavistic Tempest is a spell that has a casting value of 9 and a range of 24"". If successfully cast, pick 1 enemy unit within range and visible to the caster, then pick 1 of the effects below. That effect lasts until your next hero phase.

Blinding Gales: Subtract 1 from hit rolls for attacks made by that unit.

Meteor-hail: Worsen the Rend characteristic of weapons used by that unit by 1 (to a minimum of ‘-’).

Lightning Vortex: Subtract 1 from the Attacks characteristic of missile weapons used by that unit (to a minimum of 1).

Flash-freezing Blizzard: Subtract 1 from save rolls for attacks that target that unit."
Lightning Pulse,Order|Stormcast Eternals|Hammers of Sigmar,,Astreia Solbright,6,"6""","Lightning Pulse is a spell that has a casting value of 6 and a range of 6"". If successfully cast, subtract 1 from hit rolls for attacks made by enemy units within range until your next hero phase."
Splinter-screech,Chaos|Skaven|Masterclan,,Warpgnaw Verminlord,5,"13""","Splinter-screech is a spell that has a casting value of 5 and a range of 13"". If successfully cast, pick 1 enemy model within range and visible to the caster, and roll a dice. If the roll is equal to or greater than that model’s Wounds characteristic, it is slain."
Primordial Mire,Order|Seraphon,,Skink Oracle on Troglodon,7,"12""","Primordial Mire is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 objective or terrain feature within range and visible to the caster. Until your next hero phase, units within 3"" of that objective or terrain feature cannot run or retreat and must halve the result of any charge rolls. This spell has no effect on Skink units and units that can fly."
Drain Magic,Legends,,Archmage on Dragon,6,"18""","Drain Magic is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 enemy Wizard within range and visible to the caster. Reduce the number of spells that enemy Wizard can attempt to cast by 1 until your next hero phase."
Pyroelectric Blast,Order|Stormcast Eternals|Hammers of Sigmar,,Aventis Firestrike,7,"9""","Pyroelectric Blast is a spell that has a casting value of 7 and a range of 9"". If successfully cast, pick 1 point on the battlefield within range and visible to the caster. Each enemy unit within 3"" of that point suffers D3 mortal wounds."
Blaze of the Heavens,Order|Stormcast Eternals|Thunderstrike,,Knight-Arcanum,7,"18""","Blaze of the Heavens is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds. Add 2"" to the range of this spell for each other friendly Stormcast Eternals Thunderstrike unit wholly within 12"" of the caster."
Bolt of Change,Chaos|Disciples of Tzeentch|Tzeentch,,Magister,7,"18""","Bolt of Change is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds. You can say that the first enemy model slain by this spell each time it is cast is transformed into a Spawn instead of being slain."
Unleash Spites,Order|Sylvaneth,,Branchwych,5,"9""","Unleash Spites is a spell that has a casting value of 5 and a range of 9"". If successfully cast, roll a number of dice equal to the unmodified casting roll for each enemy unit within range of the caster. For each 5+, that enemy unit suffers 1 mortal wound."
Spirit Storm,Order|Stormcast Eternals,,Knight-Incantor,7,"18""","Spirit Storm is a spell that has a casting value of 7 and a range of 18"". If successfully cast, subtract 1 from run and charge rolls for enemy units within range until your next hero phase."
Primal Terror,Order|Sylvaneth,,Drycha Hamadreth,6,"12""","Primal Terror is a spell that has a casting value of 6 and a range of 12"". If successfully cast, roll 2D6. Each enemy unit within range that has a Bravery characteristic lower than the roll suffers D3 mortal wounds (roll separately for each unit)."
Pink Fire of Tzeentch,Chaos|Disciples of Tzeentch|Tzeentch,,Changecaster,7,"18""","Pink Fire of Tzeentch is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Subtract 1 from save rolls for attacks that target that unit until your next hero phase."
Greater Power of Hysh,Order|Aelf|Lumineth Realm-lords|Ymetrica,,Lyrior Uthralle,7,"18""","Greater Power of Hysh is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick up to D3 friendly Lumineth Realm‑lords units with the Sunmetal Weapons ability wholly within range and visible to the caster. Until your next hero phase, the Sunmetal Weapons ability of those units causes mortal wounds on an unmodified hit roll of 5+ instead of 6."
Empower,Order|Stormcast Eternals,,Evocators,6,"12""","Empower is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 friendly Redeemer or Sacrosanct unit wholly within range. Add 1 to wound rolls for attacks made by that unit until your next hero phase."
Gaze of Mork,Legends,,Orruk Great Shaman,6,"20""","Gaze of Mork is a spell that has a casting value of 6 and a range of 20"". If successfully cast, pick up to 3 different enemy units within range and visible to the caster, and roll a dice for each of those units. On a 1, nothing happens. On a 2-5, that unit suffers 1 mortal wound. On a 6, that unit suffers D3 mortal wounds."
Empower,Order|Stormcast Eternals,,Evocators on Celestial Dracolines,6,"12""","Empower is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 friendly Redeemer or Sacrosanct unit wholly within range. Add 1 to wound rolls for attacks made by that unit until your next hero phase."
Unleash Swarm of Spites,Sylvaneth|Order,,Warsong Revenant,7,"9""","Unleash Swarm of Spites is a spell that has a casting value of 7 and a range of 9"". If successfully cast, roll a number of dice equal to the unmodified casting roll for each enemy unit within range of the caster. For each 5+, that enemy unit suffers 1 mortal wound."
Might of Kurnoth,Order|Sylvaneth|Oakenbrow,,Skaeth's Wild Hunt,7,"12""","Might of Kurnoth is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 friendly Sylvaneth unit within range and visible to the caster. Add 1 to wound rolls for attacks made with melee weapons by that unit until the start of your next hero phase."
Thunderclap,Order|Stormcast Eternals,,Lord-Arcanum,6,"18""","Thunderclap is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Subtract 1 from hit rolls for attacks made by that unit until your next hero phase."
The Parchment Curse,Disciples of Tzeentch,,Tome of Eyes,8,"18""","The Parchment Curse is a spell that is known by the model that summoned this endless spell while this endless spell is on the battlefield. It has a casting value of 8 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster, and roll a dice. On a 3+, that unit suffers D3 mortal wounds. In addition, for each model slain by those mortal wounds, subtract 1 from the Bravery characteristic of that model’s unit (to a minimum of 1) for the rest of the battle."
Infernal Gateway,Chaos|Tzeentch|Disciples of Tzeentch,,Exalted Greater Daemon of Tzeentch,7,"18""","Infernal Gateway is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster, and roll 9 dice. For each roll that equals or beats the value shown for Infernal Gateway on the damage table above, that unit suffers 1 mortal wound."
Deluge of Nurgle,Chaos|Nurgle|Maggotkin of Nurgle,,Rotigus,7,,"Deluge of Nurgle is a spell that has a casting value of 7. If successfully cast, roll 7 dice. For each 5+, you can pick 1 different enemy unit that is visible to the caster. Each of those units suffers D3 mortal wounds."
Healing Light,Stormcast Eternals|Order,,Lord-Arcanum on Gryph-Charger,5,"18""","Healing Light is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 friendly Stormcast Eternals unit within range. Heal up to D3 wounds allocated to that unit. If the unmodified casting roll was 8+, heal up to D6 wounds allocated to that unit instead."
Lightning Orb,Order|Stormcast Eternals,,Lord-Arcanum on Tauralon,6,"12""","Lightning Orb is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 point on the battlefield within range and visible to the caster. Roll a dice for each enemy unit within 3"" of that point. On a 4+, that unit suffers D3 mortal wounds."
Cacophonic Choir,Chaos|Slaanesh|Hedonites of Slaanesh,,Soulfeaster Keepers of Secrets,6,"6""","Cacophonic Choir is a spell that has a casting value of 6 and a range of 6"". If successfully cast, roll 2D6. Each enemy unit within range that has a Bravery characteristic less than the roll suffers D3 mortal wounds."
Traitor’s Mist,Legends,,Sayl the Faithless ,7,"15""","Traitor’s Mist is a spell that has a casting value of 7 and a range of 15"". If successfully cast, pick 1 friendly Slaves to Darkness unit wholly within range and visible to the caster. Remove that unit from the battlefield and then set it up again anywhere on the battlefield more than 9"" from all enemy units. It cannot move in the subsequent movement phase."
Venom of the Spider God,Destruction|Gloomspite Gitz,,Webspinner Shaman on Arachnarok Spider,6,"18""","Venom of the Spider God is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 friendly Spiderfang unit wholly within range and visible to the caster. Until the start of your next hero phase, add 1 to the number of mortal wounds caused by the ‘Spider Venom’ ability of that unit if the unmodified hit roll was 6. If the casting roll was 10 or more, pick up to D3 different friendly Spiderfang units instead of 1.

Designer’s Note: If a unit is affected by the Light of the Bad Moon, this spell does not affect unmodified hit rolls of 5; it only affects unmodified hit rolls of 6."
Hag Curse,Destruction|Gloomspite Gitz|Troggoth,,Troggoth Hag,7,"12""","Hag Curse is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, subtract 1 from hit rolls for attacks made by that unit and subtract 1 from save rolls for attacks that target that unit."
Blood Siphon,Death|Soulblight Gravelords,,Bloodseeker Palanquin,6,"12""","Blood Siphon is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 enemy Hero within range and visible to the caster, and roll a dice. On a 1-2, the target suffers 1 mortal wound. On a 3-4, the target suffers D3 mortal wounds. On a 5-6, the target suffers D6 mortal wounds."
Spectral Lure,Death|Nighthaunt,,Guardian of Souls,6,"24""","Spectral Lure is a spell that has a casting value of 6 and a range of 24"". If successfully cast, pick 1 friendly Nighthaunt Summonable unit wholly within range and visible to the caster. You can heal up to D6 wounds allocated to that unit or, if no wounds are allocated to it, you can return a number of slain models to that unit that have a combined Wounds characteristic of D6 or less."
Stormsire,Order|Stormcast Eternals|Hammers of Sigmar,,Averon Stormsire,7,"18""","Stormsire is a spell that has a casting value of 7 and a range of 18"". If successfully cast, each enemy unit within range suffers 1 mortal wound. Enemy units within 6"" of the caster suffer D3 mortal wounds instead of 1."
Cloying Sea Mists,Order|Aelf|Idoneth Deepkin,,Eidolon of Mathlann Aspect of the Sea,6,,"Cloying Sea Mists is a spell that has a casting value of 6 and range of 12"". If cast, pick 1 friendly Idoneth Deepkin unit, or 1 enemy unit, within range and visible to the caster. If you picked a friendly Idoneth Deepkin unit, heal up to D3 wounds allocated to that unit. If you picked an enemy unit, that unit suffers D3 mortal wounds."
Wither,Chaos|Skaven|Masterclan,,Grey Seer,7,"13""","Wither is a spell that has a casting value of 7 and a range of 13"". If successfully cast, pick 1 enemy unit within range and visible to the caster and roll 2D6. If the roll is greater than that unit’s Wounds characteristic, that unit suffers D3 mortal wounds and you can subtract 1 from hit rolls for attacks made with melee weapons by that unit until your next hero phase."
Miasma of Pestilence,Chaos|Nurgle|Maggotkin of Nurgle,,Bloab Rotspawned,6,"14""","Miasma of Pestilence is a spell that has a casting value of 6 and a range of 14"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, roll a dice at the end of each phase in which any wounds or mortal wounds were allocated to that unit. On a 2+, that unit suffers D3 mortal wounds."
Subvert,Chaos|Hedonites of Slaanesh|Slaanesh,,Syll'Esske,7,"18""","Subvert is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit cannot issue or receive commands until your next hero phase."
Refine Senses,Chaos|Slaanesh|Hedonites of Slaanesh,,Shalaxi Helbane,4,,"Refine Senses is a spell that has a casting value of 4. If successfully cast, until your next hero phase, add 1 to hit rolls and wound rolls for attacks made by the caster that target an enemy Hero and add 1 to save rolls for attacks made by enemy Heroes that target the caster."
Overwhelming Acquiescence,Hedonites of Slaanesh|Chaos|Slaanesh,,Contorted Epitome,6,"24""","Overwhelming Acquiescence is a spell that has a casting value of 6 and a range of 24"". If successfully cast, pick up to D3 different enemy units within range and visible to the caster. Add 1 to wound rolls for attacks that target those units until your next hero phase."
Acquiescence,Hedonites of Slaanesh|Slaanesh|Chaos,,"Bladebringer, Herald on Hellflayer",5,"18""","Acquiescence is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Add 1 to wound rolls for attacks that target that unit until your next hero phase."
Undying Servitude,Death|Soulblight Gravelords,,Coven Throne,7,"12""","Undying Servitude is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 enemy Hero with a Wounds characteristic of 6 or less within range and visible to the caster. That unit suffers D3 mortal wounds. If that Hero is slain by this spell, before removing that Hero from play, you can add 1 Vampire Lord to your army. Set up that unit within 3"" of the slain Hero, and then remove the slain Hero from play."
Plague Wind,Chaos|Nurgle|Maggotkin of Nurgle,,Exalted Greater Daemon of Nurgle,7,"14""","Plague Wind is a spell that has a casting value of 7 and a range of 14"". If successfully cast, pick 1 point on the battlefield within range and visible to the caster and draw a straight line between that point and the closest point on the caster’s base. Each unit passed across by that line suffers D3 mortal wounds. If that line passes across a Nurgle unit, that unit’s commanding player can heal up to D3 wounds allocated to it instead. "
Bone Spirit,Destruction|Orruk Warclans|Orruk|Bonesplitterz,,Maniak Weirdnob,7,"12""","Bone Spirit is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 friendly Bonesplitterz unit wholly within range and visible to the caster. Until your next hero phase, add 1 to wound rolls for attacks made with melee weapons by that unit."
Acquiescence,Chaos|Slaanesh|Hedonites of Slaanesh,,Viceleader,5,"18""","Acquiescence is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Add 1 to wound rolls for attacks that target that unit until your next hero phase."
Tsunami of Terror,Order|Aelf|Idoneth Deepkin,,Eidolon of Mathlann Aspect of the Sea,7,,"Tsunami of Terror is a spell that has a casting value of 7 and range of 12"". If cast, pick up to D3 enemy units within range and visible to the caster. Subtract 1 from save rolls for attacks made with melee weapons that target that unit until your next hero phase."
Acquiescence,Hedonites of Slaanesh|Chaos|Slaanesh,,"Bladebringer, Herald on Exalted Chariot",5,"18""","Acquiescence is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Add 1 to wound rolls for attacks that target that unit until your next hero phase."
Flames of Azgorh,Legends,,Drazhoath the Ashen,8,"18""","Flames of Azgorh is a spell that has a casting value of 8 and a range of 18"". If successfully cast, pick 1 enemy unit range and visible to the caster. That unit suffers D6 mortal wounds."
Ash Storm,Legends,,Daemonsmith,6,"36""","Ash Storm is a spell that has a casting value of 6 and a range of 36"". If successfully cast, pick 1 enemy unit range and visible to the caster. Until your next hero phase, subtract 1 from hit rolls for attacks made by that unit and that unit cannot run."
Purifying Blast,Order|Stormcast Eternals,,Lord-Exorcist,5,"12""","Purifying Blast is a spell that has a casting value of 5 and a range of 12"". If successfully cast, roll a dice for each enemy unit within range. Add that unit’s Bravery characteristic to the roll. If the result is 12 or less, that unit suffers D3 mortal wounds."
Shard-storm,Death|Ossiarch Bonereapers,,Mortisan Boneshaper,5,"18""","Shard-storm is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster and roll a number of dice equal to the number of models in that unit. For each 5+, that unit suffers 1 mortal wound."
Madness,Skaven|Chaos|Masterclan,,Thanquol,8,"3""","Madness is a spell that has a casting value of 8 and a range of 3"". If successfully cast, pick 1 enemy Hero within range and visible to the caster and roll a number of dice equal to the combined value of the Attacks characteristics of all melee weapons with which that Hero is armed. For each 4+, you can pick 1 enemy unit within 3"" of that Hero to suffer 1 mortal wound (you can pick different units to suffer the mortal wounds if you wish)."
Soul-blast,Death|Ossiarch Bonereapers,,Mortisan Soulreaper,6,"12""","Soul-blast is a spell that has a casting value of 6 and a range of 12"". If successfully cast, at the start of any 1 phase before your next hero phase, you can pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds. If that unit is within 3"" of the caster, it suffers 3 mortal wounds instead of D3."
Enfeebling Foe,Daughters of Khaine|Order,,Bloodwrack Medusa,5,"18""","Enfeebling Foe is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Subtract 1 from wound rolls for attacks made with melee weapons by that unit until your next hero phase."
Wraithstorm,Death|Nighthaunt|The Grieving Legion,,Reikenor the Grimhailer,7,"12""","Wraithstorm is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds. If any models in that unit are slain as a result of this spell, that unit immediately suffers an additional D3 mortal wounds."
Sneaky Stabbin’,Legends,,Grot Shaman,7,"16""","Sneaky Stabbin’ is a spell that has a casting value of 7 and a range of 16"". If successfully cast, you can pick 1 friendly Grot unit within range and viible to the caster. Add 1 to wound rolls for that unit until your next hero phase."
Green Puke,Destruction|Orruk Warclans|Orruk|Ironjawz,,Orruk Weirdnob Shaman,6,,"Green Puke is a spell that has a casting value of 6 and a range of 2D6"". If successfully cast, pick 1 point on the battlefield within range and visible to the caster. Draw a straight line between that point and the closest point on the caster’s base. Each unit that has models passed across by that line suffers D3 mortal wounds."
Crippling Famishment ,Chaos|Slaanesh|Hedonites of Slaanesh,,Glutos Orscollion,7,"18""","Crippling Famishment is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, halve the Move characteristic of that unit, and halve run rolls and charge rolls for that unit."
Soul-guide,Death|Ossiarch Bonereapers,,Mortisan Soulmason,6,"24""","Soul-guide is a spell that has a casting value of 6 and a range of 24"". If successfully cast, pick 1 friendly Mortek Guard or Kavalos Deathriders unit wholly within range and visible to the caster. Add 1 to wound rolls for attacks made with melee weapons by that unit until your next hero phase."
Abundance of Flesh,Chaos|Nurgle|Maggotkin of Nurgle,,The Glottkin,6,"14""","Abundance of Flesh is a spell that has a casting value of 6 and a range of 14"". If successfully cast, pick 1 friendly Maggotkin of Nurgle Mortal unit within range and visible to the caster. Add 1 to the Wounds characteristic of that unit until your next hero phase.

Designer’s Note: This can result in a model that is affected by this spell being slain if the wounds allocated to that model equal or exceed its Wounds characteristic once the effect of the spell ends."
Riptide,Order|Aelf|Idoneth Deepkin,,Isharann Tidecaster,7,,"Riptide is a spell that has a casting value of 7 and range of 18"". If cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds. In addition, subtract 1 from hit rolls for attacks made by that unit until your next hero phase."
The Leechlord’s Curse,Chaos|Nurgle|Maggotkin of Nurgle,,Festus the Leechlord,7,"14""","The Leechlord’s Curse is a spell that has a casting value of 7 and a range of 14"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Subtract 1 from save rolls for attacks that target that unit for the rest of the battle. The same unit cannot be affected by this spell more than once."
Stream of Corruption,Chaos|Nurgle|Maggotkin of Nurgle,,Rotbringer Sorcerer,,"7""","Stream of Corruption is a spell with a casting value of 6 and a range of 7"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Roll 1 dice for each model in that unit that is within range of the caster. For each 5+, that unit suffers 1 mortal wound.

Before attempting to cast this spell, you can say that the caster will project the stream across a greater distance. If you do so, the spell has a range of 14"" but only inflicts 1 mortal wound for each roll of 6 instead of each roll of 5+."
Curse of Years,Death|Ossiarch Bonereapers,,Arkhan the Black,6,"18""","Curse of Years is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster and roll 10 dice. For each 6, that unit suffers 1 mortal wound and you can roll another dice. For each 5+ on these extra dice, the target suffers 1 mortal wound and you can roll another dice. Now, for each 4+, the target suffers 1 mortal wound and you can roll another dice. Keep rolling dice in this way, causing mortal wounds and reducing the roll needed to cause them by 1 each time, until either no mortal wounds are caused or the target unit is destroyed. A roll of 1 always fails to cause a mortal wound."
Stream of Corruption,Chaos|Nurgle|Blessed Sons|Maggotkin of Nurgle,,Fecula Flyblown,,"7""","Stream of Corruption is a spell with a casting value of 6 and a range of 7"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Roll 1 dice for each model in that unit that is within range of the caster. For each 5+, that unit suffers 1 mortal wound.

Before attempting to cast this spell, you can say that the caster will project the stream across a greater distance. If you do so, the spell has a range of 14"" but only inflicts 1 mortal wound for each roll of 6 instead of each roll of 5+."
Devolve,Beasts of Chaos|Chaos|Beasts of Chaos (Nurgle)|Beasts of Chaos (Slaanesh)|Beasts of Chaos (Tzeentch)|Hedonites of Slaanesh Coalition Ally (Beasts of Chaos Khorne OR Nurgle)|Maggotkin of Nurgle Coalition Ally (Beasts of Chaos non Tzeentch),,Great Bray-Shaman,7,"18""","Devolve is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, roll 3D6 before that unit makes a normal move, runs, retreats or makes a charge move. If the roll is greater than that unit’s Bravery characteristic, the maximum distance of that move is halved."
Summon Lightning,Chaos|Beasts of Chaos|Beasts of Chaos (Nurgle)|Beasts of Chaos (Slaanesh)|Beasts of Chaos (Tzeentch)|Hedonites of Slaanesh Coalition Ally (Beasts of Chaos Khorne OR Nurgle)|Maggotkin of Nurgle Coalition Ally (Beasts of Chaos non Tzeentch),,Dragon Ogor Shaggoth,7,"24""","Summon Lightning is a spell that has a casting value of 7 and a range of 24"". If successfully cast, pick up to D3 friendly Thunderscorn units within range and visible to the caster. You can heal up to D3 wounds allocated to those units (roll separately for each unit). "
Daemonic Power,Slaves to Darkness (Slaanesh)|Slaves to Darkness (Nurgle)|Chaos|Slaves to Darkness|Slaves to Darkness (Tzeentch)|Disciples of Tzeentch Coalition Ally (Slaves to Darkness)|Hedonites of Slaanesh Coalition Ally (Slaves to Darkness)|Maggotkin of Nurgle Coalition Ally (Slaves to Darkness),,Chaos Sorcerer Lord,6,"18""","Daemonic Power is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 friendly Mortal Slaves to Darkness unit wholly within range and visible to the caster. Add 1 to hit and wound rolls for attacks made with melee weapons by that unit until the start of your next hero phase."
Illusory Assault,Legends,,Mistweaver Saih,6,"24""","Illusory Assault is a spell that has a casting value of 6 and a range of 24"". If successfully cast, pick 1 enemy unit within range and visible to the caster, and roll 3D6. If the roll is greater than that enemy unit’s Bravery characteristic, it suffers D3 mortal wounds. If the roll is at least double that enemy unit’s Bravery characteristic, it suffers D6 mortal wounds instead."
Doomfire,Order|Aelf|Daughters of Khaine,,Doomfire Warlocks,6,"12""","Doomfire is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. If the caster’s unit has fewer than 5 models, that enemy unit suffers D3 mortal wounds. If the caster’s unit has 5-9 models, that enemy unit suffers D6 mortal wounds. If the caster’s unit has 10 or more models, that enemy unit suffers 6 mortal wounds."
Elemental Shield,Legends,,Archmage,6,"18""","Elemental Shield is a spell that has a casting value of 6 and a range of 18"". If successfully cast, until your next hero phase, the caster has a ward of 6+, and friendly units have a ward of 6+ while they are wholly within 18"" of the caster."
The Reaping,Order|Sylvaneth|Oakenbrow,,Ylthari,6,"12""","The Reaping is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster, and roll 6 dice. For each 5+, that unit suffers 1 mortal wound."
